file,collection,slug,quickAnswer,tables,faqs,source,words,score
src\content\core\materials\grade-1-titanium.md,materials,grade-1-titanium,1,1,0,0,233,55
src\content\core\materials\grade-11-titanium.md,materials,grade-11-titanium,1,1,0,0,114,55
src\content\core\materials\grade-12-titanium.md,materials,grade-12-titanium,1,1,0,0,113,55
src\content\core\materials\grade-2-titanium.md,materials,grade-2-titanium,1,1,0,0,453,65
src\content\core\materials\grade-23-titanium.md,materials,grade-23-titanium,1,1,0,0,546,65
src\content\core\materials\grade-3-titanium.md,materials,grade-3-titanium,1,1,0,0,197,55
src\content\core\materials\grade-4-titanium.md,materials,grade-4-titanium,1,1,0,0,180,55
src\content\core\materials\grade-5-titanium.md,materials,grade-5-titanium,1,1,0,0,516,65
src\content\core\materials\grade-7-titanium.md,materials,grade-7-titanium,1,1,0,0,155,55
src\content\core\materials\grade-9-titanium.md,materials,grade-9-titanium,1,1,0,0,530,65
src\content\core\materials\ta15-titanium.md,materials,ta15-titanium,1,1,0,0,112,55
src\content\core\materials\ti-10v-2fe-3al.md,materials,ti-10v-2fe-3al,1,1,0,0,110,55
src\content\core\materials\ti-5al-2sn.md,materials,ti-5al-2sn,1,1,0,0,114,55
src\content\core\materials\ti-6al-2sn-4zr-2mo.md,materials,ti-6al-2sn-4zr-2mo,1,1,0,0,119,55
src\content\core\processes\5-axis-machining.md,processes,5-axis-machining,1,1,0,0,365,65
src\content\core\processes\cnc-machining.md,processes,cnc-machining,1,1,0,0,321,65
src\content\core\processes\cnc-milling.md,processes,cnc-milling,1,1,0,0,217,55
src\content\core\processes\cnc-turning.md,processes,cnc-turning,1,1,0,0,469,65
src\content\core\processes\dmls-vs-ebm.md,processes,dmls-vs-ebm,1,1,0,0,49,55
src\content\core\processes\dmls.md,processes,dmls,1,1,0,0,557,65
src\content\core\processes\edm.md,processes,edm,1,1,0,0,214,55
src\content\core\processes\hot-isostatic-pressing.md,processes,hot-isostatic-pressing,1,1,0,0,188,55
src\content\core\processes\laser-cutting.md,processes,laser-cutting,1,1,0,0,211,55
src\content\core\processes\titanium-casting.md,processes,titanium-casting,1,1,0,0,36,55
src\content\core\processes\titanium-forging.md,processes,titanium-forging,1,1,0,0,43,55
src\content\core\processes\titanium-sheet-metal.md,processes,titanium-sheet-metal,1,1,0,0,52,55
src\content\core\processes\titanium-welding.md,processes,titanium-welding,1,1,0,0,54,55
src\content\core\processes\waterjet-cutting.md,processes,waterjet-cutting,1,1,0,0,195,55
src\content\core\processes\wire-edm.md,processes,wire-edm,1,1,0,0,482,65
src\content\core\industries\aerospace-titanium-parts.md,industries,aerospace-titanium-parts,1,0,0,0,119,40
src\content\core\industries\automotive.md,industries,automotive,1,0,0,0,91,40
src\content\core\industries\chemical-processing.md,industries,chemical-processing,1,0,0,0,116,40
src\content\core\industries\defence.md,industries,defence,1,0,0,0,105,40
src\content\core\industries\marine.md,industries,marine,1,0,0,0,108,40
src\content\core\industries\medical-device.md,industries,medical-device,1,0,0,0,120,40
src\content\core\industries\oil-and-gas.md,industries,oil-and-gas,1,0,0,0,98,40
src\content\core\industries\semiconductor-manufacturing.md,industries,semiconductor-manufacturing,1,0,0,0,100,40
src\content\core\standards\ams-4911.md,standards,ams-4911,1,0,0,0,72,40
src\content\core\standards\ams-4928.md,standards,ams-4928,1,0,0,0,98,40
src\content\core\standards\ams-4965.md,standards,ams-4965,1,0,0,0,72,40
src\content\core\standards\as9100d.md,standards,as9100d,1,1,0,0,493,65
src\content\core\standards\astm-b265.md,standards,astm-b265,1,1,0,0,495,65
src\content\core\standards\astm-b348.md,standards,astm-b348,1,1,0,0,460,65
src\content\core\standards\astm-b381.md,standards,astm-b381,1,0,0,0,105,40
src\content\core\standards\astm-f136.md,standards,astm-f136,1,1,0,0,517,65
src\content\core\standards\astm-f2066.md,standards,astm-f2066,1,0,0,0,79,40
src\content\core\standards\iso-13485.md,standards,iso-13485,1,1,0,0,546,65
src\content\core\standards\iso-9001.md,standards,iso-9001,1,0,0,0,73,40
src\content\core\standards\nadcap.md,standards,nadcap,1,0,0,0,80,40
src\content\core\surface-finishes\bead-blasting.md,surfaceFinishes,bead-blasting,1,1,0,0,155,55
src\content\core\surface-finishes\chemical-etching.md,surfaceFinishes,chemical-etching,1,0,0,0,127,40
src\content\core\surface-finishes\electropolishing.md,surfaceFinishes,electropolishing,1,0,0,0,126,40
src\content\core\surface-finishes\passivation.md,surfaceFinishes,passivation,1,0,0,0,144,40
src\content\core\surface-finishes\polishing.md,surfaceFinishes,polishing,1,1,0,0,129,55
src\content\core\surface-finishes\pvd-coating.md,surfaceFinishes,pvd-coating,1,0,0,0,130,40
src\content\core\surface-finishes\titanium-anodizing.md,surfaceFinishes,titanium-anodizing,1,0,0,0,30,40
src\content\core\material-selection\aerospace-titanium.md,materialSelection,aerospace-titanium,1,1,0,0,39,55
src\content\core\material-selection\grade-selection-guide.md,materialSelection,grade-selection-guide,1,1,0,0,54,55
src\content\core\material-selection\medical-grade-titanium.md,materialSelection,medical-grade-titanium,1,1,0,0,45,55
src\content\core\material-selection\titanium-grades-chart.md,materialSelection,titanium-grades-chart,1,1,0,0,54,55
src\content\core\material-selection\titanium-vs-316-stainless.md,materialSelection,titanium-vs-316-stainless,1,1,0,0,43,55
src\content\core\material-selection\titanium-vs-aluminum.md,materialSelection,titanium-vs-aluminum,1,1,0,0,43,55
src\content\core\material-selection\titanium-vs-carbon-steel.md,materialSelection,titanium-vs-carbon-steel,1,1,0,0,49,55
src\content\core\material-selection\titanium-vs-inconel.md,materialSelection,titanium-vs-inconel,1,1,0,0,43,55
src\content\core\failure-analysis\alpha-case.md,failureAnalysis,alpha-case,1,1,0,0,42,55
src\content\core\failure-analysis\fatigue.md,failureAnalysis,fatigue,1,1,0,0,56,55
src\content\core\failure-analysis\hydrogen-embritlement.md,failureAnalysis,hydrogen-embritlement,1,1,0,0,48,55
src\content\core\failure-analysis\machining-defects.md,failureAnalysis,machining-defects,1,1,0,0,54,55
src\content\core\failure-analysis\overview.md,failureAnalysis,overview,1,1,0,0,42,55
src\content\core\failure-analysis\welding-defects.md,failureAnalysis,welding-defects,1,1,0,0,36,55
src\content\core\heat-treatment\annealing.md,heatTreatment,annealing,1,1,0,0,60,55
src\content\core\heat-treatment\defects.md,heatTreatment,defects,1,1,0,0,45,55
src\content\core\heat-treatment\grade-guide.md,heatTreatment,grade-guide,1,1,0,0,56,55
src\content\core\heat-treatment\overview.md,heatTreatment,overview,1,1,0,0,70,55
src\content\core\heat-treatment\solution-treatment-aging.md,heatTreatment,solution-treatment-aging,1,1,0,0,58,55
src\content\core\heat-treatment\stress-relief.md,heatTreatment,stress-relief,1,1,0,0,40,55
src\content\core\corrosion\acid-resistance.md,corrosion,acid-resistance,1,1,0,0,48,55
src\content\core\corrosion\chloride-scc.md,corrosion,chloride-scc,1,0,0,0,38,40
src\content\core\corrosion\galvanic.md,corrosion,galvanic,1,1,0,0,34,55
src\content\core\corrosion\overview.md,corrosion,overview,1,1,0,0,48,55
src\content\core\corrosion\prevention.md,corrosion,prevention,1,1,0,0,31,55
src\content\core\corrosion\seawater.md,corrosion,seawater,1,1,0,0,38,55
src\content\derived\evidence\5-axis-machining-data.md,evidence,5-axis-machining-data,0,1,0,0,87,35
src\content\derived\evidence\5-axis-tolerances.md,evidence,5-axis-tolerances,1,1,1,1,219,90
src\content\derived\evidence\bead-blasting-surface-roughness.md,evidence,bead-blasting-surface-roughness,1,1,1,1,201,90
src\content\derived\evidence\cnc-turning-parameters.md,evidence,cnc-turning-parameters,0,1,0,0,91,35
src\content\derived\evidence\dmls-parameters.md,evidence,dmls-parameters,0,1,0,0,92,35
src\content\derived\evidence\grade-1-properties.md,evidence,grade-1-properties,0,1,0,0,59,35
src\content\derived\evidence\grade-12-properties.md,evidence,grade-12-properties,0,1,0,0,46,35
src\content\derived\evidence\grade-2-properties.md,evidence,grade-2-properties,0,1,0,0,94,35
src\content\derived\evidence\grade-23-material-properties.md,evidence,grade-23-material-properties,1,1,1,1,213,90
src\content\derived\evidence\grade-3-properties.md,evidence,grade-3-properties,0,1,0,0,50,35
src\content\derived\evidence\grade-4-properties.md,evidence,grade-4-properties,0,1,0,0,50,35
src\content\derived\evidence\grade-5-milling-parameters.md,evidence,grade-5-milling-parameters,1,1,1,1,199,90
src\content\derived\evidence\grade-5-milling-roughing-data.md,evidence,grade-5-milling-roughing-data,0,1,0,0,75,35
src\content\derived\evidence\grade-5-turning-parameters.md,evidence,grade-5-turning-parameters,0,1,0,0,82,35
src\content\derived\evidence\grade-7-properties.md,evidence,grade-7-properties,0,1,0,0,47,35
src\content\derived\evidence\grade-9-properties.md,evidence,grade-9-properties,0,1,0,0,70,35
src\content\derived\evidence\machining-tolerances.md,evidence,machining-tolerances,0,1,0,0,127,35
src\content\derived\evidence\surface-finish-comparison.md,evidence,surface-finish-comparison,0,1,0,0,103,35
src\content\derived\evidence\ti-10-2-3-properties.md,evidence,ti-10-2-3-properties,0,1,0,0,50,35
src\content\derived\evidence\ti-6al-4v-hardness-data.md,evidence,ti-6al-4v-hardness-data,0,1,0,0,81,35
src\content\derived\evidence\ti-6al-4v-material-properties.md,evidence,ti-6al-4v-material-properties,1,1,1,1,325,95
src\content\derived\evidence\titanium-anodizing-properties.md,evidence,titanium-anodizing-properties,0,1,0,0,98,35
src\content\derived\evidence\titanium-corrosion-data.md,evidence,titanium-corrosion-data,0,1,0,0,82,35
src\content\derived\evidence\titanium-cost-data.md,evidence,titanium-cost-data,0,1,0,0,109,35
src\content\derived\evidence\titanium-drilling-data.md,evidence,titanium-drilling-data,0,1,0,0,111,35
src\content\derived\evidence\titanium-fatigue-data.md,evidence,titanium-fatigue-data,0,1,0,0,87,35
