file,collection,slug,words,tables,quickAnswer,dataPoints,source,score
src\content\core\materials\grade-1-titanium.md,materials,grade-1-titanium,233,1,1,0,0,55
src\content\core\materials\grade-11-titanium.md,materials,grade-11-titanium,114,1,1,0,0,55
src\content\core\materials\grade-12-titanium.md,materials,grade-12-titanium,113,1,1,0,0,55
src\content\core\materials\grade-2-titanium.md,materials,grade-2-titanium,453,1,1,0,0,60
src\content\core\materials\grade-23-titanium.md,materials,grade-23-titanium,546,1,1,0,0,60
src\content\core\materials\grade-3-titanium.md,materials,grade-3-titanium,197,1,1,0,0,55
src\content\core\materials\grade-4-titanium.md,materials,grade-4-titanium,180,1,1,0,0,55
src\content\core\materials\grade-5-titanium.md,materials,grade-5-titanium,516,1,1,0,0,60
src\content\core\materials\grade-7-titanium.md,materials,grade-7-titanium,155,1,1,0,0,55
src\content\core\materials\grade-9-titanium.md,materials,grade-9-titanium,530,1,1,0,0,60
src\content\core\materials\ta15-titanium.md,materials,ta15-titanium,112,1,1,0,0,55
src\content\core\materials\ti-10v-2fe-3al.md,materials,ti-10v-2fe-3al,110,1,1,0,0,55
src\content\core\materials\ti-5al-2sn.md,materials,ti-5al-2sn,114,1,1,0,0,55
src\content\core\materials\ti-6al-2sn-4zr-2mo.md,materials,ti-6al-2sn-4zr-2mo,119,1,1,0,0,55
src\content\core\processes\5-axis-machining.md,processes,5-axis-machining,365,1,1,0,0,45
src\content\core\processes\cnc-machining.md,processes,cnc-machining,321,1,1,0,0,40
src\content\core\processes\cnc-milling.md,processes,cnc-milling,217,1,1,0,0,40
src\content\core\processes\cnc-turning.md,processes,cnc-turning,469,1,1,0,0,45
src\content\core\processes\dmls-vs-ebm.md,processes,dmls-vs-ebm,49,1,1,0,0,45
src\content\core\processes\dmls.md,processes,dmls,557,1,1,0,0,45
src\content\core\processes\edm.md,processes,edm,214,1,1,0,0,40
src\content\core\processes\hot-isostatic-pressing.md,processes,hot-isostatic-pressing,188,1,1,0,0,40
src\content\core\processes\laser-cutting.md,processes,laser-cutting,211,1,1,0,0,40
src\content\core\processes\titanium-casting.md,processes,titanium-casting,36,1,1,0,0,45
src\content\core\processes\titanium-forging.md,processes,titanium-forging,43,1,1,0,0,45
src\content\core\processes\titanium-sheet-metal.md,processes,titanium-sheet-metal,52,1,1,0,0,45
src\content\core\processes\titanium-welding.md,processes,titanium-welding,54,1,1,0,0,45
src\content\core\processes\waterjet-cutting.md,processes,waterjet-cutting,195,1,1,0,0,40
src\content\core\processes\wire-edm.md,processes,wire-edm,482,1,1,0,0,45
src\content\core\industries\aerospace-titanium-parts.md,industries,aerospace-titanium-parts,119,0,1,0,0,35
src\content\core\industries\automotive.md,industries,automotive,91,0,1,0,0,30
src\content\core\industries\chemical-processing.md,industries,chemical-processing,116,0,1,0,0,30
src\content\core\industries\defence.md,industries,defence,105,0,1,0,0,30
src\content\core\industries\marine.md,industries,marine,108,0,1,0,0,30
src\content\core\industries\medical-device.md,industries,medical-device,120,0,1,0,0,30
src\content\core\industries\oil-and-gas.md,industries,oil-and-gas,98,0,1,0,0,30
src\content\core\industries\semiconductor-manufacturing.md,industries,semiconductor-manufacturing,100,0,1,0,0,30
src\content\core\standards\ams-4911.md,standards,ams-4911,72,0,1,0,0,30
src\content\core\standards\ams-4928.md,standards,ams-4928,98,0,1,0,0,30
src\content\core\standards\ams-4965.md,standards,ams-4965,72,0,1,0,0,30
src\content\core\standards\as9100d.md,standards,as9100d,493,1,1,0,0,50
src\content\core\standards\astm-b265.md,standards,astm-b265,495,1,1,0,0,50
src\content\core\standards\astm-b348.md,standards,astm-b348,460,1,1,0,0,50
src\content\core\standards\astm-b381.md,standards,astm-b381,105,0,1,0,0,30
src\content\core\standards\astm-f136.md,standards,astm-f136,517,1,1,0,0,50
src\content\core\standards\astm-f2066.md,standards,astm-f2066,79,0,1,0,0,30
src\content\core\standards\iso-13485.md,standards,iso-13485,546,1,1,0,0,50
src\content\core\standards\iso-9001.md,standards,iso-9001,73,0,1,0,0,30
src\content\core\standards\nadcap.md,standards,nadcap,80,0,1,0,0,30
src\content\core\surface-finishes\bead-blasting.md,surfaceFinishes,bead-blasting,155,1,1,0,0,40
src\content\core\surface-finishes\chemical-etching.md,surfaceFinishes,chemical-etching,127,0,1,0,0,30
src\content\core\surface-finishes\electropolishing.md,surfaceFinishes,electropolishing,126,0,1,0,0,30
src\content\core\surface-finishes\passivation.md,surfaceFinishes,passivation,144,0,1,0,0,30
src\content\core\surface-finishes\polishing.md,surfaceFinishes,polishing,129,1,1,0,0,40
src\content\core\surface-finishes\pvd-coating.md,surfaceFinishes,pvd-coating,130,0,1,0,0,30
src\content\core\surface-finishes\titanium-anodizing.md,surfaceFinishes,titanium-anodizing,30,0,1,0,0,35
src\content\core\material-selection\aerospace-titanium.md,materialSelection,aerospace-titanium,39,1,1,0,0,45
src\content\core\material-selection\grade-selection-guide.md,materialSelection,grade-selection-guide,54,1,1,0,0,45
src\content\core\material-selection\medical-grade-titanium.md,materialSelection,medical-grade-titanium,45,1,1,0,0,45
src\content\core\material-selection\titanium-grades-chart.md,materialSelection,titanium-grades-chart,54,1,1,0,0,45
src\content\core\material-selection\titanium-vs-316-stainless.md,materialSelection,titanium-vs-316-stainless,43,1,1,0,0,45
src\content\core\material-selection\titanium-vs-aluminum.md,materialSelection,titanium-vs-aluminum,43,1,1,0,0,45
src\content\core\material-selection\titanium-vs-carbon-steel.md,materialSelection,titanium-vs-carbon-steel,49,1,1,0,0,45
src\content\core\material-selection\titanium-vs-inconel.md,materialSelection,titanium-vs-inconel,43,1,1,0,0,45
src\content\core\failure-analysis\alpha-case.md,failureAnalysis,alpha-case,42,1,1,0,0,45
src\content\core\failure-analysis\fatigue.md,failureAnalysis,fatigue,56,1,1,0,0,45
src\content\core\failure-analysis\hydrogen-embritlement.md,failureAnalysis,hydrogen-embritlement,48,1,1,0,0,45
src\content\core\failure-analysis\machining-defects.md,failureAnalysis,machining-defects,54,1,1,0,0,45
src\content\core\failure-analysis\overview.md,failureAnalysis,overview,42,1,1,0,0,45
src\content\core\failure-analysis\welding-defects.md,failureAnalysis,welding-defects,36,1,1,0,0,45
src\content\core\heat-treatment\annealing.md,heatTreatment,annealing,60,1,1,0,0,45
