slug,claim,dataPoints,source,sourceUrl,sourceType,citationStatus,internalReference,externalReference,citationRisk
5-axis-machining-data,5-Axis Machining Parameters for Titanium,0,DMG MORI Application Data,/knowledge/evidence/5-axis-machining-data,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/5-axis-machining-data,,MEDIUM (internal stub)
5-axis-tolerances,5-Axis Titanium Machining — Achievable Tolerances,7,ISO 2768 / ISO 286 / Production validation data,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,LOW
bead-blasting-surface-roughness,Titanium Bead Blasting — Surface Roughness Data,5,ASM Handbook Volume 5: Surface Engineering,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,LOW
cnc-turning-parameters,CNC Turning Parameters for Titanium Alloys,0,"Sandvik Coromant, Machining Data Handbook",/knowledge/evidence/cnc-turning-parameters,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/cnc-turning-parameters,,MEDIUM (internal stub)
dmls-parameters,DMLS Process Parameters for Ti-6Al-4V,0,EOS Material Data Sheet,/knowledge/evidence/dmls-parameters,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/dmls-parameters,,MEDIUM (internal stub)
grade-1-properties,Grade 1 Titanium Material Properties,0,ASTM B348 MatWeb,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,MEDIUM (no URL)
grade-12-properties,Grade 12 Titanium Material Properties,0,ASTM B348 MatWeb,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,MEDIUM (no URL)
grade-2-properties,Grade 2 Titanium Material Properties,0,"ASTM B265/B348, MatWeb",/knowledge/evidence/grade-2-properties,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/grade-2-properties,,MEDIUM (internal stub)
grade-23-material-properties,Ti-6Al-4V ELI (Grade 23) — Complete Material Properties,8,ASTM F136 / ASTM B348 / ASM Materials Handbook,https://www.astm.org/f0136-24.html,THIRD_PARTY,VERIFIED_EXTERNAL,,https://www.astm.org/f0136-24.html,LOW
grade-3-properties,Grade 3 Titanium Material Properties,0,ASTM B348 MatWeb,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,MEDIUM (no URL)
grade-4-properties,Grade 4 Titanium Material Properties,0,ASTM B348 MatWeb,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,MEDIUM (no URL)
grade-5-milling-parameters,Ti-6Al-4V Milling — Recommended Cutting Parameters,7,Machining Data Handbook (Meteut Research Associates) / Sandvik Coromant Titanium Machining Guide,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,LOW
grade-5-milling-roughing-data,High-Feed Milling Parameters for Grade 5 Titanium,0,Empirical Testing Seco Tools,/knowledge/evidence/grade-5-milling-roughing-data,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/grade-5-milling-roughing-data,,MEDIUM (internal stub)
grade-5-turning-parameters,Grade 5 Titanium Turning Parameters,0,Sandvik Coromant,/knowledge/evidence/grade-5-turning-parameters,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/grade-5-turning-parameters,,MEDIUM (internal stub)
grade-7-properties,Grade 7 Titanium Material Properties,0,ASTM B348 MatWeb,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,MEDIUM (no URL)
grade-9-properties,Grade 9 Titanium Material Properties (Ti-3Al-2.5V),0,"ASTM B265/B348, MatWeb",/knowledge/evidence/grade-9-properties,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/grade-9-properties,,MEDIUM (internal stub)
machining-tolerances,CNC Machining Tolerances for Titanium Components,0,"ISO 2768, Industry Practice",/knowledge/evidence/machining-tolerances,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/machining-tolerances,,MEDIUM (internal stub)
surface-finish-comparison,Titanium Surface Finish Comparative Data,0,"Industry Standards, Empirical Testing",/knowledge/evidence/surface-finish-comparison,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/surface-finish-comparison,,MEDIUM (internal stub)
ti-10-2-3-properties,Ti-10V-2Fe-3Al Material Properties,0,AMS 4983 MatWeb,,STANDARD_OR_DOC,SOURCE_TEXT_ONLY,,,MEDIUM (no URL)
ti-6al-4v-hardness-data,Ti-6Al-4V Hardness and Heat Treatment Response,0,ASM Handbook Vol 4,/knowledge/evidence/ti-6al-4v-hardness-data,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/ti-6al-4v-hardness-data,,MEDIUM (internal stub)
ti-6al-4v-material-properties,Ti-6Al-4V (Grade 5) — Complete Material Properties,12,ASTM B265 / ASTM B348 / ASM Materials Handbook Volume 2,https://www.astm.org/b0265-24.html,THIRD_PARTY,VERIFIED_EXTERNAL,,https://www.astm.org/b0265-24.html,LOW
titanium-anodizing-properties,Titanium Anodizing Colour Parameters and Properties,0,Industry Standards,/knowledge/evidence/titanium-anodizing-properties,INTERNAL_REFERENCE,INTERNAL_REFERENCE,/knowledge/evidence/titanium-anodizing-properties,,MEDIUM (internal stub)
