file,collection,kind,slug,route,locale,title,words,tables,mdLinks,quickAnswer,properties,dataPoints,faqs,checklist,source,sourceUrl,relatedEntityCount,rendered
src\content\core\materials\grade-1-titanium.md,materials,Material,grade-1-titanium,/grades/grade-1-titanium/,en,Commercially Pure Titanium Grade 1,233,1,0,true,true,false,false,false,false,false,20,YES
src\content\core\materials\grade-11-titanium.md,materials,Material,grade-11-titanium,/grades/grade-11-titanium/,en,Ti-0.15Pd (Grade 11) Titanium,114,1,0,true,true,false,false,false,false,false,13,YES
src\content\core\materials\grade-12-titanium.md,materials,Material,grade-12-titanium,/grades/grade-12-titanium/,en,Ti-0.3Mo-0.8Ni (Grade 12) Titanium,113,1,0,true,true,false,false,false,false,false,17,YES
src\content\core\materials\grade-2-titanium.md,materials,Material,grade-2-titanium,/grades/grade-2-titanium/,en,Commercially Pure Titanium Grade 2,453,1,0,true,true,false,false,false,false,false,20,YES
src\content\core\materials\grade-23-titanium.md,materials,Material,grade-23-titanium,/grades/grade-23-titanium/,en,Ti-6Al-4V ELI (Grade 23) Titanium,546,1,0,true,true,false,false,false,false,false,22,YES
src\content\core\materials\grade-3-titanium.md,materials,Material,grade-3-titanium,/grades/grade-3-titanium/,en,Commercially Pure Titanium Grade 3,197,1,0,true,true,false,false,false,false,false,18,YES
src\content\core\materials\grade-4-titanium.md,materials,Material,grade-4-titanium,/grades/grade-4-titanium/,en,Commercially Pure Titanium Grade 4,180,1,0,true,true,false,false,false,false,false,20,YES
src\content\core\materials\grade-5-titanium.md,materials,Material,grade-5-titanium,/grades/grade-5-titanium/,en,Ti-6Al-4V (Grade 5) Titanium,516,1,0,true,true,false,false,false,false,false,25,YES
src\content\core\materials\grade-7-titanium.md,materials,Material,grade-7-titanium,/grades/grade-7-titanium/,en,Ti-0.15Pd (Grade 7) Titanium,155,1,0,true,true,false,false,false,false,false,17,YES
src\content\core\materials\grade-9-titanium.md,materials,Material,grade-9-titanium,/grades/grade-9-titanium/,en,Ti-3Al-2.5V (Grade 9) Titanium,530,1,0,true,true,false,false,false,false,false,20,YES
src\content\core\materials\ta15-titanium.md,materials,Material,ta15-titanium,/grades/ta15-titanium/,en,TA15 (Ti-6.5Al-2Zr-1Mo-1V) Titanium,112,1,0,true,true,false,false,false,false,false,13,YES
src\content\core\materials\ti-10v-2fe-3al.md,materials,Material,ti-10v-2fe-3al,/grades/ti-10v-2fe-3al/,en,Ti-10V-2Fe-3Al (Ti-10-2-3) Titanium,110,1,0,true,true,false,false,false,false,false,15,YES
src\content\core\materials\ti-5al-2sn.md,materials,Material,ti-5al-2sn,/grades/ti-5al-2sn/,en,Ti-5Al-2.5Sn (Grade 6) Titanium,114,1,0,true,true,false,false,false,false,false,15,YES
src\content\core\materials\ti-6al-2sn-4zr-2mo.md,materials,Material,ti-6al-2sn-4zr-2mo,/grades/ti-6al-2sn-4zr-2mo/,en,Ti-6Al-2Sn-4Zr-2Mo (Ti-6242) Titanium,119,1,0,true,true,false,false,false,false,false,15,YES
src\content\core\processes\5-axis-machining.md,processes,Process,5-axis-machining,/processes/5-axis-machining/,en,What Is 5-Axis CNC Machining for Titanium? - Complete Process Guide,365,1,0,true,false,false,false,false,false,false,11,YES
src\content\core\processes\cnc-machining.md,processes,Process,cnc-machining,/processes/cnc-machining/,en,cnc-machining,321,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\processes\cnc-milling.md,processes,Process,cnc-milling,/processes/cnc-milling/,en,cnc-milling,217,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\processes\cnc-turning.md,processes,Process,cnc-turning,/processes/cnc-turning/,en,cnc-turning,469,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\processes\dmls-vs-ebm.md,processes,Process,dmls-vs-ebm,/processes/dmls-vs-ebm/,en,Titanium 3D Printing: DMLS vs EBM Comparison,49,1,0,true,false,false,false,false,false,false,6,YES
src\content\core\processes\dmls.md,processes,Process,dmls,/processes/dmls/,en,dmls,557,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\processes\edm.md,processes,Process,edm,/processes/edm/,en,edm,214,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\processes\hot-isostatic-pressing.md,processes,Process,hot-isostatic-pressing,/processes/hot-isostatic-pressing/,en,hot-isostatic-pressing,188,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\processes\laser-cutting.md,processes,Process,laser-cutting,/processes/laser-cutting/,en,laser-cutting,211,1,0,true,false,false,false,false,false,false,0,YES
src\content\core\processes\titanium-casting.md,processes,Process,titanium-casting,/processes/titanium-casting/,en,Titanium Investment Casting Guide,36,1,0,true,false,false,false,false,false,false,5,YES
src\content\core\processes\titanium-forging.md,processes,Process,titanium-forging,/processes/titanium-forging/,en,"Titanium Forging: Process, Alloys & Applications",43,1,0,true,false,false,false,false,false,false,6,YES
src\content\core\processes\titanium-sheet-metal.md,processes,Process,titanium-sheet-metal,/processes/titanium-sheet-metal/,en,Titanium Sheet Metal Fabrication & Forming,52,1,0,true,false,false,false,false,false,false,5,YES
src\content\core\processes\titanium-welding.md,processes,Process,titanium-welding,/processes/titanium-welding/,en,"Titanium Welding Guide: TIG, Laser, EBW Best Practices",54,1,0,true,false,false,false,false,false,false,8,YES
