file,collection,slug,route,primary_entity,primary_intent,page_role,target_user,decision_stage,unique_value,overlap_risk,recommended_action,info_gain,rendered
src\content\core\materials\grade-1-titanium.md,materials,grade-1-titanium,/grades/grade-1-titanium/,grade-1-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\grade-11-titanium.md,materials,grade-11-titanium,/grades/grade-11-titanium/,grade-11-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\grade-12-titanium.md,materials,grade-12-titanium,/grades/grade-12-titanium/,grade-12-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\grade-2-titanium.md,materials,grade-2-titanium,/grades/grade-2-titanium/,grade-2-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),60,YES
src\content\core\materials\grade-23-titanium.md,materials,grade-23-titanium,/grades/grade-23-titanium/,grade-23-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),60,YES
src\content\core\materials\grade-3-titanium.md,materials,grade-3-titanium,/grades/grade-3-titanium/,grade-3-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\grade-4-titanium.md,materials,grade-4-titanium,/grades/grade-4-titanium/,grade-4-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\grade-5-titanium.md,materials,grade-5-titanium,/grades/grade-5-titanium/,grade-5-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),60,YES
src\content\core\materials\grade-7-titanium.md,materials,grade-7-titanium,/grades/grade-7-titanium/,grade-7-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\grade-9-titanium.md,materials,grade-9-titanium,/grades/grade-9-titanium/,grade-9-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),60,YES
src\content\core\materials\ta15-titanium.md,materials,ta15-titanium,/grades/ta15-titanium/,ta15-titanium,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\ti-10v-2fe-3al.md,materials,ti-10v-2fe-3al,/grades/ti-10v-2fe-3al/,ti-10v-2fe-3al,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\ti-5al-2sn.md,materials,ti-5al-2sn,/grades/ti-5al-2sn/,ti-5al-2sn,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\materials\ti-6al-2sn-4zr-2mo.md,materials,ti-6al-2sn-4zr-2mo,/grades/ti-6al-2sn-4zr-2mo/,ti-6al-2sn-4zr-2mo,Entity Detail,Entity Detail,Engineer/Designer,Requirement/Selection,quantitative data,LOW,KEEP (rendered),55,YES
src\content\core\processes\5-axis-machining.md,processes,5-axis-machining,/processes/5-axis-machining/,5-axis-machining,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),45,YES
src\content\core\processes\cnc-machining.md,processes,cnc-machining,/processes/cnc-machining/,cnc-machining,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\processes\cnc-milling.md,processes,cnc-milling,/processes/cnc-milling/,cnc-milling,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\processes\cnc-turning.md,processes,cnc-turning,/processes/cnc-turning/,cnc-turning,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),45,YES
src\content\core\processes\dmls-vs-ebm.md,processes,dmls-vs-ebm,/processes/dmls-vs-ebm/,dmls-vs-ebm,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\processes\dmls.md,processes,dmls,/processes/dmls/,dmls,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),45,YES
src\content\core\processes\edm.md,processes,edm,/processes/edm/,edm,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\processes\hot-isostatic-pressing.md,processes,hot-isostatic-pressing,/processes/hot-isostatic-pressing/,hot-isostatic-pressing,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\processes\laser-cutting.md,processes,laser-cutting,/processes/laser-cutting/,laser-cutting,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\processes\titanium-casting.md,processes,titanium-casting,/processes/titanium-casting/,titanium-casting,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\processes\titanium-forging.md,processes,titanium-forging,/processes/titanium-forging/,titanium-forging,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\processes\titanium-sheet-metal.md,processes,titanium-sheet-metal,/processes/titanium-sheet-metal/,titanium-sheet-metal,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\processes\titanium-welding.md,processes,titanium-welding,/processes/titanium-welding/,titanium-welding,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\processes\waterjet-cutting.md,processes,waterjet-cutting,/processes/waterjet-cutting/,waterjet-cutting,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\processes\wire-edm.md,processes,wire-edm,/processes/wire-edm/,wire-edm,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),45,YES
src\content\core\industries\aerospace-titanium-parts.md,industries,aerospace-titanium-parts,/industries/aerospace-titanium-parts/,aerospace-titanium-parts,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),35,YES
src\content\core\industries\automotive.md,industries,automotive,/industries/automotive/,automotive,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\industries\chemical-processing.md,industries,chemical-processing,/industries/chemical-processing/,chemical-processing,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\industries\defence.md,industries,defence,/industries/defence/,defence,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\industries\marine.md,industries,marine,/industries/marine/,marine,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\industries\medical-device.md,industries,medical-device,/industries/medical-device/,medical-device,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\industries\oil-and-gas.md,industries,oil-and-gas,/industries/oil-and-gas/,oil-and-gas,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\industries\semiconductor-manufacturing.md,industries,semiconductor-manufacturing,/industries/semiconductor-manufacturing/,semiconductor-manufacturing,Entity Detail,Entity Detail,Engineer,Requirement,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\standards\ams-4911.md,standards,ams-4911,/standards/ams-4911/,ams-4911,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\standards\ams-4928.md,standards,ams-4928,/standards/ams-4928/,ams-4928,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\standards\ams-4965.md,standards,ams-4965,/standards/ams-4965/,ams-4965,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\standards\as9100d.md,standards,as9100d,/standards/as9100d/,as9100d,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),50,YES
src\content\core\standards\astm-b265.md,standards,astm-b265,/standards/astm-b265/,astm-b265,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),50,YES
src\content\core\standards\astm-b348.md,standards,astm-b348,/standards/astm-b348/,astm-b348,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),50,YES
src\content\core\standards\astm-b381.md,standards,astm-b381,/standards/astm-b381/,astm-b381,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\standards\astm-f136.md,standards,astm-f136,/standards/astm-f136/,astm-f136,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),50,YES
src\content\core\standards\astm-f2066.md,standards,astm-f2066,/standards/astm-f2066/,astm-f2066,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\standards\iso-13485.md,standards,iso-13485,/standards/iso-13485/,iso-13485,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),50,YES
src\content\core\standards\iso-9001.md,standards,iso-9001,/standards/iso-9001/,iso-9001,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\standards\nadcap.md,standards,nadcap,/standards/nadcap/,nadcap,Entity Detail,Entity Detail,Engineer,Requirement/Certification,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\surface-finishes\bead-blasting.md,surfaceFinishes,bead-blasting,/finishes/bead-blasting/,bead-blasting,Entity Detail,Entity Detail,Engineer,Design/Finishing,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\surface-finishes\chemical-etching.md,surfaceFinishes,chemical-etching,/finishes/chemical-etching/,chemical-etching,Entity Detail,Entity Detail,Engineer,Design/Finishing,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\surface-finishes\electropolishing.md,surfaceFinishes,electropolishing,/finishes/electropolishing/,electropolishing,Entity Detail,Entity Detail,Engineer,Design/Finishing,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\surface-finishes\passivation.md,surfaceFinishes,passivation,/finishes/passivation/,passivation,Entity Detail,Entity Detail,Engineer,Design/Finishing,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\surface-finishes\polishing.md,surfaceFinishes,polishing,/finishes/polishing/,polishing,Entity Detail,Entity Detail,Engineer,Design/Finishing,direct answer,LOW,KEEP (rendered),40,YES
src\content\core\surface-finishes\pvd-coating.md,surfaceFinishes,pvd-coating,/finishes/pvd-coating/,pvd-coating,Entity Detail,Entity Detail,Engineer,Design/Finishing,direct answer,LOW,KEEP (rendered),30,YES
src\content\core\surface-finishes\titanium-anodizing.md,surfaceFinishes,titanium-anodizing,/finishes/titanium-anodizing/,titanium-anodizing,Entity Detail,Entity Detail,Engineer,Design/Finishing,direct answer,LOW,DEEPEN or MERGE,35,YES
src\content\core\material-selection\aerospace-titanium.md,materialSelection,aerospace-titanium,/select/aerospace-titanium/,aerospace-titanium,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\material-selection\grade-selection-guide.md,materialSelection,grade-selection-guide,/select/grade-selection-guide/,grade-selection-guide,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\material-selection\medical-grade-titanium.md,materialSelection,medical-grade-titanium,/select/medical-grade-titanium/,medical-grade-titanium,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\material-selection\titanium-grades-chart.md,materialSelection,titanium-grades-chart,/select/titanium-grades-chart/,titanium-grades-chart,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\material-selection\titanium-vs-316-stainless.md,materialSelection,titanium-vs-316-stainless,/select/titanium-vs-316-stainless/,titanium-vs-316-stainless,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\material-selection\titanium-vs-aluminum.md,materialSelection,titanium-vs-aluminum,/select/titanium-vs-aluminum/,titanium-vs-aluminum,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\material-selection\titanium-vs-carbon-steel.md,materialSelection,titanium-vs-carbon-steel,/select/titanium-vs-carbon-steel/,titanium-vs-carbon-steel,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\material-selection\titanium-vs-inconel.md,materialSelection,titanium-vs-inconel,/select/titanium-vs-inconel/,titanium-vs-inconel,Engineering Decision,Engineering Decision,Engineer/Designer,Decision,direct answer,HIGH (same-entity overlap),DEEPEN or MERGE,45,YES
src\content\core\failure-analysis\alpha-case.md,failureAnalysis,alpha-case,/failures/alpha-case/,alpha-case,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\failure-analysis\fatigue.md,failureAnalysis,fatigue,/failures/fatigue/,fatigue,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\failure-analysis\hydrogen-embritlement.md,failureAnalysis,hydrogen-embritlement,/failures/hydrogen-embritlement/,hydrogen-embritlement,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\failure-analysis\machining-defects.md,failureAnalysis,machining-defects,/failures/machining-defects/,machining-defects,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\failure-analysis\overview.md,failureAnalysis,overview,/failures/overview/,overview,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\failure-analysis\welding-defects.md,failureAnalysis,welding-defects,/failures/welding-defects/,welding-defects,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\heat-treatment\annealing.md,heatTreatment,annealing,/heat-treatment/annealing/,annealing,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),45,YES
src\content\core\heat-treatment\defects.md,heatTreatment,defects,/heat-treatment/defects/,defects,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\heat-treatment\grade-guide.md,heatTreatment,grade-guide,/heat-treatment/grade-guide/,grade-guide,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\heat-treatment\overview.md,heatTreatment,overview,/heat-treatment/overview/,overview,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,KEEP (rendered),45,YES
